index,Supplement,Oil_retention,Water_retention,Bulk_density,Tapped_density,L,a,b,C,h,Curcumin_binding_capacity,Particle_size,Specific_surface_area,Biscuit_hardness,Custard_viscosity,Custard_firmness,Custard_stickiness,Cellulose,Hemicellulose,Dextrine,Pectin,Lignin,Fructans,Insoluble_fibre,Soluble_fibre,Protein,Carbs,Fat,Water,Ash,type,bioaccessibility
40,Pea fiber 50 M,2.5,4.222,0.468793333,0.652173913,71.77666667,17.1,28.14666667,32.93333333,58.71333333,40,88.572,0.168,1419,25000,506,-303.3333333,0.012169811,0.016981132,0,0,0,0,0.029150943,0,0.105320755,0.613207547,0.093509434,0.305773585,0.016603774,1,48.82654111
41,Pea fiber 50 M,2.5,4.222,0.468793333,0.652173913,71.77666667,17.1,28.14666667,32.93333333,58.71333333,40,88.572,0.168,1419,25000,506,-303.3333333,0.012169811,0.016981132,0,0,0,0,0.029150943,0,0.105320755,0.613207547,0.093509434,0.305773585,0.016603774,1,54.53432487
42,Nutriose FM06,2.8,0,0.375533333,0.454545455,88.58,5.486666667,17.64666667,18.48666667,72.74333333,0,147.3155,0.1465,1612,4242,42.5,-19.16666667,0.000849057,0,0.048113208,0,0,0,0.000849057,0.048113208,0.068716981,0.483018868,0.093886792,0.28690566,0.007169811,1,51.18176976
43,Nutriose FM06,2.8,0,0.375533333,0.454545455,88.58,5.486666667,17.64666667,18.48666667,72.74333333,0,147.3155,0.1465,1612,4242,42.5,-19.16666667,0.000849057,0,0.048113208,0,0,0,0.000849057,0.048113208,0.068716981,0.483018868,0.093886792,0.28690566,0.007169811,1,47.31192816
44,Nutriose FM06,2.8,0,0.375533333,0.454545455,88.58,5.486666667,17.64666667,18.48666667,72.74333333,0,147.3155,0.1465,1612,4242,42.5,-19.16666667,0.000849057,0,0.048113208,0,0,0,0.000849057,0.048113208,0.068716981,0.483018868,0.093886792,0.28690566,0.007169811,1,51.11650632
45,Nutriose FM06,2.8,0,0.375533333,0.454545455,88.58,5.486666667,17.64666667,18.48666667,72.74333333,0,147.3155,0.1465,1612,4242,42.5,-19.16666667,0.000849057,0,0.048113208,0,0,0,0.000849057,0.048113208,0.068716981,0.483018868,0.093886792,0.28690566,0.007169811,1,49.5802449
46,Nutriose FM06,2.8,0,0.375533333,0.454545455,88.58,5.486666667,17.64666667,18.48666667,72.74333333,0,147.3155,0.1465,1612,4242,42.5,-19.16666667,0.000849057,0,0.048113208,0,0,0,0.000849057,0.048113208,0.068716981,0.483018868,0.093886792,0.28690566,0.007169811,1,44.79682275
47,Nutriose FM06,2.8,0,0.375533333,0.454545455,88.58,5.486666667,17.64666667,18.48666667,72.74333333,0,147.3155,0.1465,1612,4242,42.5,-19.16666667,0.000849057,0,0.048113208,0,0,0,0.000849057,0.048113208,0.068716981,0.483018868,0.093886792,0.28690566,0.007169811,1,45.5760957
48,Ceamfibre 7000,4.2,4.032933333,0.2097,0.303030303,60.38666667,18.35333333,37.00666667,41.30666667,63.62,460,262.432,0.0314,3039,25000,354.3333333,-151.5,0.024056604,0.009056604,0,0.000849057,0.003396226,0,0.048962264,0.000849057,0.078528302,0.481132075,0.096528302,0.296716981,0.005283019,1,50.39795876
49,Ceamfibre 7000,4.2,4.032933333,0.2097,0.303030303,60.38666667,18.35333333,37.00666667,41.30666667,63.62,460,262.432,0.0314,3039,25000,354.3333333,-151.5,0.024056604,0.009056604,0,0.000849057,0.003396226,0,0.048962264,0.000849057,0.078528302,0.481132075,0.096528302,0.296716981,0.005283019,1,48.0542896
50,Ceamfibre 7000,4.2,4.032933333,0.2097,0.303030303,60.38666667,18.35333333,37.00666667,41.30666667,63.62,460,262.432,0.0314,3039,25000,354.3333333,-151.5,0.024056604,0.009056604,0,0.000849057,0.003396226,0,0.048962264,0.000849057,0.078528302,0.481132075,0.096528302,0.296716981,0.005283019,1,47.17684152
